 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebApi.Owin, Version: 5.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebApi.Tracing, Version: 5.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebApi.WebHost, Version: 5.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebPages, Version: 3.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebPages.Data, Version: 3.2.3
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebPages.WebData, Version: 3.2.3
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.CodeDom.Providers.DotNetCompilerPlatform, Version: 2.0.1
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.CSharp, Version: 4.4.1
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Exchange.WebServices, Version: 2.2.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.IdentityModel, Version: 6.1.7600.16394
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.IdentityModel.JsonWebTokens, Version: 5.3.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.IdentityModel.Logging, Version: 5.3.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.IdentityModel.Tokens, Version: 5.3.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Owin, Version: 4.1.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Owin.Host.SystemWeb, Version: 4.0.1
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Owin.Security, Version: 4.1.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Owin.Security.Cookies, Version: 4.0.1
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Owin.Security.Jwt, Version: 4.1.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Owin.Security.OAuth, Version: 4.1.0
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.Web.Infrastructure, Version: 1.0.0
 Project: Custom.Gravitate.WebAPI,Package: morelinq, Version: 3.1.1
 Project: Custom.Gravitate.WebAPI,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.WebAPI,Package: Owin, Version: 1.0.0
 Project: Custom.Gravitate.WebAPI,Package: Quartz, Version: 2.6.1
 Project: Custom.Gravitate.WebAPI,Package: RazorEngine, Version: 3.4.1
 Project: Custom.Gravitate.WebAPI,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.WebAPI,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.WebAPI,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.WebAPI,Package: SpreadsheetLight, Version: 3.4.9
 Project: Custom.Gravitate.WebAPI,Package: System.ComponentModel, Version: 4.3.0
